model,count
claude-opus-4.5,40960
gpt-5.2,23572
gemini-3-flash-preview,14192
kimi-k2-0905,12736
claude-sonnet-4.5,9994
gemini-2.5-pro,7875
claude-opus-4-5-20251101,7519
gemini-3-pro-preview,6057
claude-haiku-4.5,5334
claude-opus-4.1,5053
glm-4.7,3137
gpt-5.1,2259
claude-sonnet-4,1824
claude-opus-4,1746
claude-3.7-sonnet,1541
minimax-m2,1439
deepseek-v3.2,722
qwen3-235b-a22b,697
claude-sonnet-4-5-20250929,599
gpt-5.2-chat-latest,583
kimi-k2,542
chatgpt-4o-latest,511
deepseek-r1t2-chimera:free,483
gpt-5-chat-latest,483
kat-coder-pro,459
gpt-4.1,402
nemotron-nano-9b-v2:free,345
gpt-4o,325
gemini-2.0-flash-001,248
qwen3-coder,217
deepseek-r1,216
gpt-4o-mini,213
deepseek-r1-0528,206
gpt-5,201
deepseek-v3.1,197
gemini-2.5-flash,179
gemini-2.5-flash-lite,147
gemini-3-pro-image-preview,145
gpt-4o-search-preview,144
glm-4.6,143
llama-3.3-70b-instruct,119
gpt-5-chat,113
gpt-4-turbo-preview,100
gemini-2.5-flash-image,92
gpt-4,87
gpt-3.5-turbo,80
qwen3-235b-a22b-07-25,72
claude-3-7-sonnet-20250219,68
glm-4.5,67
gpt-5.1-chat-latest,64
deepseek-v3,64
gpt-4-turbo,61
devstral-2512:free,60
qwen3-32b,59
o3,58
gpt-4o-mini-search-preview,53
deepseek-prover-v2,52
o4-mini,48
deepseek-v3.1-terminus,48
claude-opus-4-1-20250805,42
gpt-4.1-mini,40
gpt-5-mini,38
o3-mini,36
o1,35
glm-4.5-air:free,32
gemini-2.0-flash-lite-001,31
nemotron-nano-12b-v2-vl:free,28
gpt-5-nano,24
gpt-4.1-nano,22
claude-3-haiku,20
mistral-nemo,18
deepseek-v3.1-nex-n1:free,17
qwen3-14b,17
gemma-3n-e2b-it:free,16
mixtral-8x7b-instruct,16
dolphin-mistral-24b-venice-edition:free,16
mistral-small-3.2-24b-instruct,15
tng-r1t-chimera:free,15
gpt-oss-120b,15
llama-3.1-8b-instruct,15
grok-4,14
gpt-oss-20b,11
claude-3.5-haiku,9
qwen3-next-80b-a3b-thinking,8
deepseek-v3.2-exp,7
claude-haiku-4-5-20251001,6
qwen3-next-80b-a3b-instruct,5
claude-3-opus,4
mistral-large-2512,4
gpt-4o-2024-11-20,4
claude-3-opus-20240229,4
grok-4.1-fast,4
olmo-3.1-32b-think:free,3
claude-3.5-sonnet,2
gpt-audio,2
minimax-01,2
claude-3-haiku-20240307,2
claude-opus-4-20250514,2
mistral-medium-3.1,2
claude-3-5-haiku-20241022,2
grok-4-fast,2
grok-code-fast-1,2
glm-4.5v,2
neverseemeagain,2
