position_decile,nsfw_flag,n_sentences,uncertainty_rate,mean_uncertainty_count
1,false,24807,0.024468899907284233,0.026766638448824927
1,true,1057,0.023651844843897825,0.02554399243140965
2,false,18355,0.06058294742576954,0.06657586488695179
2,true,823,0.04495747266099635,0.04981773997569866
3,false,19103,0.06904674658430612,0.07705595979689055
3,true,847,0.06611570247933884,0.07201889020070838
4,false,18624,0.06298324742268041,0.06942654639175258
4,true,819,0.0757020757020757,0.07936507936507936
5,false,17745,0.0628909551986475,0.06892082276697661
5,true,791,0.06700379266750948,0.07458912768647281
6,false,20159,0.05853464953618731,0.06513219901780842
6,true,887,0.05749718151071026,0.06200676437429538
7,false,19330,0.05876875323331609,0.06647697878944646
7,true,846,0.06501182033096926,0.06973995271867613
8,false,18397,0.05587867587106594,0.06191226830461488
8,true,820,0.05,0.054878048780487805
9,false,19061,0.05702743822464718,0.06279838413514506
9,true,850,0.07529411764705882,0.07882352941176471
10,false,23819,0.04198329065032117,0.0463915361686049
10,true,1016,0.06200787401574803,0.0688976377952756
